번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
501,E01C008-10,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 석천리 352-1,36.8310204,127.2339283,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
502,E16C007-10,방범용,가로변,청룡동,,충청남도 천안시 동남구 삼룡동 292-1,36.78422969,127.1684292,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
503,E16C006-10,방범용,가로변,청룡동,,충청남도 천안시 동남구 삼룡동 292-1,36.78422969,127.1684292,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
504,E16C005-09,방범용,가로변,청룡동,,충청남도 천안시 동남구 삼룡동 252-35,36.78819393,127.162389,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
505,E16C004-08,약자보호,가로변,청룡동,,충청남도 천안시 동남구 구성동 391-31,36.79124914,127.1629284,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
506,E16C003-08,방범용,가로변,청룡동,,충청남도 천안시 동남구 구성동 471-5,36.79609739,127.159691,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
507,E16C002-11,방범용,가로변,청룡동,,충청남도 천안시 동남구 구성동 293-64,36.79432396,127.1622314,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
508,E16C001-10,방범용,가로변,청룡동,,충청남도 천안시 동남구 구성동 452-1,36.79682313,127.1631052,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
509,W20C110-18,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 판정리 43-4,36.91066601,127.182873,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
510,W20C108-18,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 군서리 120-6,36.90145081,127.1595727,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
511,W20C035-12,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 모시리 64-10,36.87112943,127.1452401,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
512,W20S014-18,약자보호,가로변,직산읍,,충청남도 천안시 서북구 직산읍 삼은리 76-444,36.87818288,127.1498695,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
513,W20C078-18,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 모시리 64-9,36.8705631,127.144571,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
514,W20C077-18,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 삼은리 76-4,36.88002311,127.1489735,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
515,W20C031-12,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 마정리 261-14,36.86833062,127.1006315,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
516,W20C030-12,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 부송리 195-12,36.87381644,127.135071,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
517,W20C027-11,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 남산리 281-1,36.89204559,127.1701024,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
518,W20C045-09,방범용,가로변,직산읍,,충청남도 천안시 서북구 직산읍 양당리 5-6,36.891132,127.124481,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
519,E17P007-12,약자보호,공원,신안동,,충청남도 천안시 동남구 신부동 228,36.832829,127.1673222,양방향,Y,N,N,,2012,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
520,E17P006-12,약자보호,공원,신안동,,충청남도 천안시 동남구 신부동 228,36.832829,127.1673222,양방향,Y,N,N,,2012,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
521,E17P005-13,약자보호,공원,신안동,,충청남도 천안시 동남구 신부동 471-1,36.81778514,127.1594903,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
522,E17P004-11,약자보호,공원,신안동,,충청남도 천안시 동남구 신부동 811,36.82002691,127.1596256,양방향,Y,N,N,,2011,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
523,E17P003-13,약자보호,공원,신안동,,충청남도 천안시 동남구 신부동 497-1,36.8199695,127.1622323,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
524,E17P001-13,약자보호,공원,신안동,,충청남도 천안시 동남구 신부동 453-1,36.8179609,127.1536576,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
525,E17C147-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 83-9,36.8146304,127.159049,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
526,E17C057-15,방범용,가로변,신안동,,충청남도 천안시 동남구 안서동 178,36.83002195,127.1945174,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
527,E17C056-15,방범용,가로변,신안동,,충청남도 천안시 동남구 안서동 526-11,36.83881443,127.1783225,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
528,E17C055-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 492-13,36.8187439,127.161098,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
529,E17C054-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 72-36,36.81508854,127.1607035,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
530,E17C053-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 371-55,36.8173024,127.1525683,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
531,E17C052-15,방범용,가로변,신안동,,충청남도 천안시 동남구 성황동 10-56,36.81621609,127.152106,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
532,E17C051-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 470-1,36.81812618,127.1589721,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
533,E17C050-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 191-6,36.82928058,127.1675066,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
534,E17C049-15,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 395-1,36.81981229,127.1509855,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
535,E17C038-11,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 490-22,36.81830937,127.161797,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
536,W23S011-16,방범용,가로변,성정2동,,충청남도 천안시 서북구 성정동 37-10,36.82419037,127.1463386,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
537,W23C077-16,방범용,가로변,성정2동,,충청남도 천안시 서북구 성정동 663-2,36.8218968,127.1441024,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
538,W23C076-16,방범용,가로변,성정2동,,충청남도 천안시 서북구 성정동 643,36.82254147,127.1416201,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
539,W23C075-16,방범용,가로변,성정2동,,충청남도 천안시 서북구 성정동 643,36.82254147,127.1416201,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
540,W23C074-16,방범용,가로변,성정2동,,충청남도 천안시 서북구 성정동 620-10,36.82420702,127.1381478,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
541,W23S006-13,약자보호,가로변,성정2동,,충청남도 천안시 서북구 성정동 709-14,36.81623706,127.1372005,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
542,W23S005-13,약자보호,가로변,성정2동,,충청남도 천안시 서북구 성정동 644,36.82318503,127.1396436,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
543,W23S003-13,약자보호,가로변,성정2동,,충청남도 천안시 서북구 성정동 659-6,36.82129858,127.1424765,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
544,W23S002-12,약자보호,가로변,성정2동,,충청남도 천안시 서북구 성정동 666-9,36.820804,127.1415326,양방향,Y,N,N,,2012,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
545,W23S001-13,약자보호,가로변,성정2동,,충청남도 천안시 서북구 성정동 788,36.82431785,127.1346827,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
546,W23P015-14,약자보호,공원,성정2동,,충청남도 천안시 서북구 성정동 955,36.819756,127.132497,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
547,W23P014-14,약자보호,공원,성정2동,,충청남도 천안시 서북구 성정동 436-10,36.82466276,127.1352845,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
548,W23P013-14,약자보호,공원,성정2동,,충청남도 천안시 서북구 성정동 673-6,36.820543,127.137735,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
549,W23P012-14,약자보호,공원,성정2동,,충청남도 천안시 서북구 성정동 646-2,36.82326,127.138345,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
550,W23P011-11,약자보호,공원,성정2동,,충청남도 천안시 서북구 성정동 844,36.8212205,127.134705,양방향,Y,N,N,,2011,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
551,W27C095-17,방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 555-86,36.830925,127.1060433,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
552,W27C111-17,방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 928,36.82665591,127.1136735,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
553,W27C108-17,방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 893,36.82321382,127.1218107,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
554,W27C107-17,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 914,36.82285217,127.1195936,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
555,W27P018-17,약자보호,공원,백석동,,충청남도 천안시 서북구 성성동 441,36.83784483,127.1233892,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
556,W27P016-17,약자보호,공원,백석동,,충청남도 천안시 서북구 백석동 1002,36.82751227,127.123494,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
557,W27C115-16,방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 299-5,36.82302669,127.113115,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
558,W27C018-13,약자보호,공원,백석동,,충청남도 천안시 서북구 백석동 771,36.8241131,127.1263054,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
559,W27C014-13,방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 890,36.82267894,127.121365,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
560,W27P020-16,약자보호,공원,백석동,,충청남도 천안시 서북구 백석동 223-3,36.81753526,127.1218186,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
561,W27P019-16,약자보호,공원,백석동,,충청남도 천안시 서북구 백석동 899,36.81981609,127.123505,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
562,W27C081-16,방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 900,36.82039753,127.1211737,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
563,기존(W27C006-14),방범용,가로변,백석동,,충청남도 천안시 서북구 백석동 429-1,36.8296443,127.117498,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
564,W27S182-15,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 105,36.82890323,127.1225335,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
565,W27S170-15,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 105-12,36.829161,127.122938,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
566,W27S005-11,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 105,36.82890323,127.1225335,양방향,Y,N,N,,2011,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
567,W27S004-13,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 303-2,36.82400483,127.1146789,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
568,W27S003-13,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 902,36.82032135,127.1225212,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
569,W27S002-13,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 902,36.82032135,127.1225212,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
570,W27S001-13,약자보호,가로변,백석동,,충청남도 천안시 서북구 백석동 902,36.82032135,127.1225212,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
571,E01C006-15,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 석천리 515-1,36.8247518,127.227632,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
572,E01C005-15,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 지산리 292,36.78751257,127.1945057,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
573,E01C004-15,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 신계리 251-7,36.7789036,127.207966,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
574,E01C003-15,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 신계리 320-5,36.770893,127.203918,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
575,E01C003-09,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 동리 137-1,36.78758319,127.2393291,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
576,E01C002-15,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 운전리 298-1,36.76612764,127.2311945,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
577,E01C002-10,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 신계리 381-1,36.7679429,127.196918,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
578,E01C001-15,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 교천리 134-9,36.7770015,127.198756,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
579,E01C001-11,방범용,가로변,목천읍,,충청남도 천안시 동남구 목천읍 신계리 294-5,36.7720369,127.207906,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
580,E08C002-18,방범용,가로변,동면,,충청남도 천안시 동남구 동면 덕성리 266-24,36.79721631,127.3705703,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
581,E08C017-17,방범용,가로변,동면,,충청남도 천안시 동남구 동면 행암리 59,36.80493179,127.3546178,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
582,E08C019-16,방범용,가로변,동면,,충청남도 천안시 동남구 동면 화덕리 501,36.76227396,127.3972206,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
583,E08C017-16,방범용,가로변,동면,,충청남도 천안시 동남구 동면 죽계리 230-1,36.79527887,127.385209,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
584,E08C016-16,방범용,가로변,동면,,충청남도 천안시 동남구 동면 장송리 292,36.7772593,127.3813961,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
585,E08C015-16,방범용,가로변,동면,,충청남도 천안시 동남구 동면 송연리 96-3,36.7788366,127.3638237,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
586,E08C014-16,방범용,가로변,동면,,충청남도 천안시 동남구 동면 구도리 218-6,36.7685703,127.3348481,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
587,E08S001-11,약자보호,가로변,동면,,충청남도 천안시 동남구 동면 동산리 553,36.77813893,127.3489413,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
588,E08C029-15,방범용,가로변,동면,,충청남도 천안시 동남구 동면 수남리 150,36.76913497,127.3863991,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
589,E08C028-15,방범용,가로변,동면,,충청남도 천안시 동남구 동면 화덕리 233-1,36.7510987,127.4010791,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
590,E08C027-15,방범용,가로변,동면,,충청남도 천안시 동남구 동면 화덕리 51-1,36.7686718,127.4145525,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
591,E08C026-15,방범용,가로변,동면,,충청남도 천안시 동남구 동면 수남리 산49-11,36.773296,127.3720183,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
592,E08C025-15,방범용,가로변,동면,,충청남도 천안시 동남구 동면 덕성리 263-1,36.80353118,127.3734285,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
593,E08C006-10,방범용,가로변,동면,,충청남도 천안시 동남구 동면 송연리 356-1,36.77999187,127.3659725,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
594,E08C005-10,방범용,가로변,동면,,충청남도 천안시 동남구 동면 동산리 29-9,36.7923103,127.369079,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
595,E08C004-10,방범용,가로변,동면,,충청남도 천안시 동남구 동면 동산리 508,36.77943465,127.3536595,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
596,E08C002-10,방범용,가로변,동면,,충청남도 천안시 동남구 동면 화계리 286,36.77168812,127.3353522,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
597,W26S004-10,약자보호,가로변,쌍용3동,,충청남도 천안시 서북구 쌍용동 1922,36.8037223,127.1177619,양방향,Y,N,N,,2018,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
598,W26S003-13,약자보호,가로변,쌍용3동,,충청남도 천안시 서북구 쌍용동 1300,36.80108802,127.1224588,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
599,W26S002-08,약자보호,가로변,쌍용3동,,충청남도 천안시 서북구 쌍용동 1300,36.80108802,127.1224588,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
600,W26S001-13,약자보호,가로변,쌍용3동,,충청남도 천안시 서북구 쌍용동 1917,36.80425936,127.1214831,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
601,W26P013-14,약자보호,공원,쌍용3동,,충청남도 천안시 서북구 쌍용동 315-10,36.81165416,127.128619,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
602,W26P012-14,약자보호,공원,쌍용3동,,충청남도 천안시 서북구 쌍용동 1358,36.80241267,127.121272,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
603,W26P011-14,약자보호,공원,쌍용3동,,충청남도 천안시 서북구 쌍용동 산12-1,36.80911585,127.1169312,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
604,W26P010-14,약자보호,공원,쌍용3동,,충청남도 천안시 서북구 쌍용동 1563,36.79313232,127.1180021,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
605,E17C037-11,방범용,가로변,신안동,,충청남도 천안시 동남구 안서동 373-10,36.84125018,127.1775605,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
606,E17C036-11,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 287-27,36.82845125,127.1592608,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
607,E17C035-10,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 973,36.82251827,127.1536315,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
608,E17C034-10,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 247-11,36.83079026,127.1604968,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
609,E17C033-10,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 262-1,36.82900449,127.1628735,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
610,E17C028-11,방범용,가로변,신안동,,충청남도 천안시 동남구 안서동 363-14,36.8404321,127.176067,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
611,E17C027-11,방범용,가로변,신안동,,충청남도 천안시 동남구 유량동 265-4,36.81380678,127.175276,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
612,E17C024-10,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 730,36.82182419,127.1578215,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
613,E17C022-12,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 616,36.822187,127.156546,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
614,E17C021-10,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 401-12,36.826738,127.1603695,양방향,Y,N,N,,2015,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
615,E17C020-08,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 495-7,36.82069488,127.1622398,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
616,E17C019-13,방범용,가로변,신안동,,충청남도 천안시 동남구 신부동 509-6,36.818826,127.156397,양방향,Y,N,N,,2013,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
617,W30C124-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 1943,36.83495733,127.1329999,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
618,W30C105-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 899,36.83229901,127.1337618,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
619,W30C104-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 738,36.83255284,127.1312686,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
620,W30C103-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 716,36.83294152,127.1323711,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
621,W30C102-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 664,36.82732291,127.1296953,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
622,W30C101-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 2009,36.83617123,127.1291473,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
623,W30C100-17,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 1901-4,36.8359478,127.1309686,양방향,Y,N,N,,2017,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
624,W30C019-12,방범용,가로변,부성2동,,충청남도 천안시 서북구 업성동 610-2,36.8624343,127.146189,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
625,W30C117-16,방범용,가로변,부성2동,,충청남도 천안시 서북구 두정동 1922,36.83554547,127.1314894,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
626,W30P034-16,약자보호,공원,부성2동,,충청남도 천안시 서북구 차암동 547,36.84361766,127.1069876,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
627,W30P033-16,약자보호,공원,부성2동,,충청남도 천안시 서북구 차암동 547,36.84361766,127.1069876,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
628,W30P032-16,약자보호,공원,부성2동,,충청남도 천안시 서북구 차암동 547,36.84361766,127.1069876,양방향,Y,N,N,,2014,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
629,W30S009-16,약자보호,가로변,부성2동,,충청남도 천안시 서북구 차암동 254,36.844031,127.105578,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
630,W30S006-16,약자보호,가로변,부성2동,,충청남도 천안시 서북구 두정동 526-1,36.83026791,127.1321668,양방향,Y,N,N,,2016,2020-10-20,Y,천안시 안전총괄과,041-521-5587,2021-10-15
